SimTime,tb_top.ch_out,tb_top.adc_out[5:0]
0,0,
0.001,0,
0.002,0,
0.003,0,
0.004,0,
0.005,0,
0.006,0,
0.007,0,
0.008,0,
0.009,0,
0.01,0,
0.011,0,
0.012,0.00094748485000000068,
0.013,0.0014248632960803583,
0.014,0.0015775377262224749,
0.015,0.0015236020835198913,
0.016,0.001355978815947588,
0.017,0.0011447021119437503,
0.018,0.00093929139493471869,
0.019,0.00077116404260565291,
0.02,0.00065604159994772995,
0.021,0.00059630923878421782,
0.022,0.00058329376263564769,
0.023,0.0005994309592762051,
0.024,0.00062029847215824135,
0.025,0.00061649551726485757,
0.026,0.00055535564816892868,
0.027,0.00040248331608776222,
0.028,0.00012310914259731215,
0.029,-0.00031673740911013909,
0.03,-0.00094923593190428951,
0.031,-0.0018039585930233193,
0.032,-0.0029072218403232986,
0.033,-0.0042815968037132196,
0.034,-0.00594556724948761,
0.035,-0.0079133226869052137,
0.036,-0.010194673335170004,
0.037,-0.01279507310731131,
0.038,-0.015715736524962359,
0.039,-0.018953835512462283,
0.04,-0.022502762296732925,
0.041,-0.026352445127322481,
0.042,-0.030489704195448775,
0.043,-0.034898635939230795,
0.044,-0.039561014843289416,
0.045,-0.04445670284495723,
0.046,-0.049564057518912893,
0.047,-0.054860331301875814,
0.048,-0.060322055116237963,
0.049,-0.065925400835913431,
0.05,-0.071646518091611586,27
0.051,-0.07746184192117235,27
0.052,-0.08334836872109648,27
0.053,-0.089283898838017794,27
0.054,-0.095247244946018411,27
0.055,-0.10121840608204169,27
0.056,-0.10717870785391773,27
0.057,-0.11311090989227476,27
0.058,-0.11899928208912661,27
0.059,-0.12482965155394404,27
0.06,-0.13058942252554226,27
0.061,-0.13626757170922743,27
0.062,-0.141854621668285,27
0.063,-0.14734259499268634,27
0.064,-0.15272495200196226,27
0.065,-0.15799651471999848,27
0.066,-0.16315337979368291,27
0.067,-0.16819282292155668,27
0.068,-0.17311319721948143,27
0.069,-0.17791382778424072,27
0.07,-0.18259490452907118,27
0.071,-0.18715737516313541,27
0.072,-0.19160283997526459,27
0.073,-0.19593344986580641,27
0.074,-0.20015180885351547,27
0.075,-0.20426088207101128,27
0.076,-0.20826391005577152,27
0.077,-0.21216432994677487,27
0.078,-0.21596570401210563,27
0.079,-0.21967165576192971,27
0.08,-0.22328581374564299,27
0.081,-0.22681176299262956,27
0.082,-0.23025300393350898,27
0.083,-0.2336129185331858,27
0.084,-0.23689474327831728,27
0.085,-0.24010154858957,27
0.086,-0.24323622417258922,27
0.087,-0.24630146978010037,27
0.088,-0.24929979082998077,27
0.089,-0.25223349830933428,27
0.09,-0.25510471239133925,27
0.091,-0.25791536919862246,27
0.092,-0.26066723016282378,27
0.093,-0.26336189345351974,27
0.094,-0.26600080697948658,27
0.095,-0.26858528250012309,27
0.096,-0.27111651042353602,27
0.097,-0.27359557490918185,27
0.098,-0.27602346893601504,27
0.099,-0.27840110904087101,27
0.1,-0.28072934947545725,27
0.101,-0.28300899557309289,27
0.102,-0.28713578585758043,27
0.103,-0.29027528145793791,27
0.104,-0.29271901574454939,27
0.105,-0.29470389906410205,27
0.106,-0.29641650028442934,27
0.107,-0.29799761964800264,27
0.108,-0.29954704090464251,27
0.109,-0.30112836070005805,27
0.11,-0.30277380382061991,27
0.111,-0.30448894387620523,27
0.112,-0.30625726010624349,27
0.113,-0.30804447200911589,27
0.114,-0.30980260423802619,27
0.115,-0.31147374452004833,27
0.116,-0.31299346710806952,27
0.117,-0.31429390336196428,27
0.118,-0.31530644939395225,27
0.119,-0.31596410824494525,27
0.12,-0.3162034707461685,27
0.121,-0.31596634504517507,27
0.122,-0.31520104973665386,27
0.123,-0.31386338965062033,27
0.124,-0.3119173366413715,27
0.125,-0.30933544022894582,27
0.126,-0.30609899471888796,27
0.127,-0.30219799052131258,27
0.128,-0.29763087786744558,27
0.129,-0.29240417104558436,27
0.13,-0.28653192071548206,27
0.131,-0.28003508087796597,27
0.132,-0.27294079574201768,27
0.133,-0.26528163010978068,27
0.134,-0.25709476505358059,27
0.135,-0.24842117864719429,27
0.136,-0.23930482939137571,27
0.137,-0.22979185779155412,27
0.138,-0.21992981934929176,27
0.139,-0.20976696005899798,27
0.14,-0.19935154339278219,27
0.141,-0.18873123573918052,27
0.142,-0.17795255536063637,27
0.143,-0.16706038816990523,27
0.144,-0.1560975720120758,27
0.145,-0.14510454968730255,27
0.146,-0.1341190896661443,27
0.147,-0.12317607233738803,27
0.148,-0.11230733868682211,27
0.149,-0.10154159753109615,27
0.15,-0.090904386817503513,25
0.151,-0.080418084040059262,25
0.152,-0.070101960504704117,25
0.153,-0.059972273990560605,25
0.154,-0.050042394287636398,25
0.155,-0.04032295613127751,25
0.156,-0.030822034186734237,25
0.157,-0.021545334950051884,25
0.158,-0.012496400710942365,25
0.159,-0.0036768210565102655,25
0.16,0.0049135522305478255,25
0.161,0.013276390620926753,25
0.162,0.021414677952535516,25
0.163,0.029332506093326743,25
0.164,0.037034879603123509,25
0.165,0.044527531417339755,25
0.166,0.051816751162209643,25
0.167,0.058909227317365358,25
0.168,0.065811904072010596,25
0.169,0.07253185337922094,25
0.17,0.079076162401835515,25
0.171,0.085451836264883396,25
0.172,0.091665715784616825,25
0.173,0.097724409633375947,25
0.174,0.10363424022241977,25
0.175,0.10940120244068975,25
0.176,0.11503093427491039,25
0.177,0.12052869825375524,25
0.178,0.12589937260397055,25
0.179,0.13114745097705816,25
0.18,0.13627704959889711,25
0.181,0.1412919207089367,25
0.182,0.14619547118767667,25
0.183,0.15099078531840918,25
0.184,0.15568065068902803,25
0.185,0.16026758630959029,25
0.186,0.16475387209884171,25
0.187,0.1691415789758397,25
0.188,0.1734325988790367,25
0.189,0.17762867412283107,25
0.19,0.18173142558895183,25
0.191,0.18574237933562254,25
0.192,0.18966299128996522,25
0.193,0.19349466976747556,25
0.194,0.19723879563574312,25
0.195,0.20089674000721988,25
0.196,0.20446987940724881,25
0.197,0.20795960841841277,25
0.198,0.21136734985037398,25
0.199,0.2146945625256983,25
0.2,0.21794274680678499,25
0.201,0.22111344801713589,25
0.202,0.22610322763208451,25
0.203,0.23007854112228396,25
0.204,0.23333187565897762,25
0.205,0.23610114282364197,25
0.206,0.23857394826872369,25
0.207,0.24089215303349798,25
0.208,0.24315661466052094,25
0.209,0.24543200623427075,25
0.21,0.24775162205840606,25
0.211,0.25012208964188937,25
0.212,0.25252791874157976,25
0.213,0.25493582919992896,25
0.214,0.2572988100375273,25
0.215,0.25955987255424845,25
0.216,0.26165546992852901,25
0.217,0.26351856487607878,25
0.218,0.26508133525545113,25
0.219,0.26627751502957153,25
0.22,0.26704437467183106,25
0.221,0.26732435092431195,25
0.222,0.26706634077307201,25
0.223,0.26622667861547183,25
0.224,0.26476981888480938,25
0.225,0.26266874890681219,25
0.226,0.25990515853877327,25
0.227,0.25646939424055737,25
0.228,0.25236022570801597,25
0.229,0.24758445312794952,25
0.23,0.24215638255619448,25
0.231,0.2360971959439721,25
0.232,0.22943424100904766,25
0.233,0.2222002645325768,25
0.234,0.21443261082221096,25
0.235,0.20617240507613979,25
0.236,0.19746373926625627,25
0.237,0.18835287598199191,25
0.238,0.17888748348514061,25
0.239,0.16911591306059962,25
0.24,0.15908652764360903,25
0.241,0.14884708869072938,25
0.242,0.13844420636427995,25
0.243,0.12792285633810871,25
0.244,0.11732596492148001,25
0.245,0.10669406274820253,25
0.246,0.096065005996420955,25
0.247,0.085473762993564545,25
0.248,0.074952263120238116,25
0.249,0.064529304152870198,25
0.25,0.054230513571673564,36
0.251,0.044078358899775065,36
0.252,0.034092201821351337,36
0.253,0.024288390640022472,36
0.254,0.014680385571374757,36
0.255,0.0052789114024087841,36
0.256,-0.0039078678173142672,36
0.257,-0.012874157176356441,36
0.258,-0.021616327239197042,36
0.259,-0.030132702834405514,36
0.26,-0.038423348432918204,36
0.261,-0.046489853852590773,36
0.262,-0.054335123602324203,36
0.263,-0.061963172746641725,36
0.264,-0.069378931738411004,36
0.265,-0.07658806224122662,36
0.266,-0.083596785550513711,36
0.267,-0.090411724829375276,36
0.268,-0.097039762006253222,36
0.269,-0.10348790984030845,36
0.27,-0.1097631993498126,36
0.271,-0.11587258252069174,36
0.272,-0.12182284996777101,36
0.273,-0.12762056301062533,36
0.274,-0.13327199944897672,36
0.275,-0.13878311217847283,36
0.276,-0.1441594996751169,36
